EntityID,TemporalPropertyID,TimeStamp,TemporalPropertyValue
1,44,67,1.67
1,55,0,4
2,1,10,30
2,1,16,30
2,1,17,45
2,1,18,45
2,1,19,38.7
2,1,20,45
2,1,22,83.7
2,1,26,45
2,1,35,30
2,1,36,45
2,1,37,45
2,1,38,45
2,2,11,9.9
2,4,39,30
2,39,8,6.2
2,39,9,6.2
2,39,10,6.2
2,39,11,6.2
2,39,12,6.2
2,39,13,6.2
2,39,14,6.2
2,39,15,6.4
2,39,16,6.4
2,39,17,6.4
2,39,18,6.4
2,39,19,6.4
2,39,20,6.4
2,39,21,5.6
2,39,22,5.6
2,39,23,5.6
2,39,24,5.6
2,39,25,6.8
2,39,26,6.8
2,39,27,6.8
2,39,28,6.8
2,39,29,6.8
2,39,30,6.8
2,39,31,6.5
2,39,32,6.5
2,39,33,6.5
2,39,34,6.5
2,39,35,6.5
2,39,36,6.5
2,39,37,6.2
2,39,38,6.2
2,39,39,6.2
2,39,40,6.2
2,39,41,6.2
2,39,42,6.2
2,39,43,6.1
2,39,44,6.1
2,39,45,6.1
2,39,46,6.1
2,39,47,6.1
2,39,48,6.1
2,39,49,6.1
2,39,50,6.1
2,39,51,6.1
2,39,52,6.1
2,39,53,6.1
2,39,54,6.1
2,39,55,6.1
2,39,56,5.9
2,39,57,5.9
2,39,58,5.9
2,39,59,5.9
2,39,60,6.4
2,39,61,6.4
2,39,62,6.4
2,39,63,6.4
2,39,64,5.9
2,39,65,5.9
2,39,66,5.9
2,39,67,5.9
2,40,15,100
2,40,16,100
2,40,17,100
2,40,18,100
2,40,19,100
2,40,20,100
2,40,21,94
2,40,22,94
2,40,23,94
2,40,24,94
2,40,25,94
2,40,26,94
2,40,27,94
2,40,28,94
2,40,29,94
2,40,30,94
2,40,31,94
2,40,32,94
2,40,33,94
2,40,34,94
2,40,35,94
2,40,36,94
2,40,37,94
2,40,38,94
2,40,39,94
2,40,40,94
2,40,41,94
2,40,42,94
2,40,43,94
2,40,44,94
2,40,45,94
2,40,46,94
2,40,47,94
2,40,48,94
2,40,49,94
2,40,50,94
2,40,51,94
2,40,52,94
2,40,53,94
2,40,54,94
2,40,55,94
2,40,56,88
2,40,57,102
2,40,58,102
2,40,59,102
2,40,60,102
2,40,61,102
2,40,62,102
2,40,63,102
2,40,64,102
2,40,65,102
2,40,66,102
2,40,67,102
2,41,3,233
2,41,4,233
2,41,5,233
2,41,6,233
2,41,7,233
2,41,8,235
2,41,9,235
2,41,10,235
2,41,11,235
2,41,12,235
2,41,13,235
2,41,14,235
2,41,15,231
2,41,16,231
2,41,17,231
2,41,18,231
2,41,19,231
2,41,20,231
2,41,21,243
2,41,22,243
2,41,23,249
2,41,24,211
2,41,25,232
2,41,26,232
2,41,27,232
2,41,28,232
2,41,29,232
2,41,30,232
2,41,31,250
2,41,32,250
2,41,33,250
2,41,34,250
2,41,35,250
2,41,36,250
2,41,37,256
2,41,38,256
2,41,39,256
2,41,40,256
2,41,41,256
2,41,42,256
2,41,43,218
2,41,44,218
2,41,45,218
2,41,46,218
2,41,47,218
2,41,48,218
2,41,49,193
2,41,50,193
2,41,51,193
2,41,52,193
2,41,53,193
2,41,54,193
2,41,55,193
2,41,56,191
2,41,57,192
2,41,58,192
2,41,59,192
2,41,60,217
2,41,61,217
2,41,62,217
2,41,63,217
2,41,64,190
2,41,65,190
2,41,66,190
2,41,67,190
2,42,3,151
2,42,4,151
2,42,5,151
2,42,6,151
2,42,7,151
2,42,8,143
2,42,9,143
2,42,10,143
2,42,11,143
2,42,12,143
2,42,13,143
2,42,14,143
2,42,15,118
2,42,16,118
2,42,17,118
2,42,18,118
2,42,19,118
2,42,20,118
2,42,21,118
2,42,22,118
2,42,23,118
2,42,24,118
2,42,25,120
2,42,26,120
2,42,27,120
2,42,28,120
2,42,29,120
2,42,30,120
2,42,31,90
2,42,32,90
2,42,33,90
2,42,34,90
2,42,35,90
2,42,36,90
2,42,37,117
2,42,38,117
2,42,39,117
2,42,40,117
2,42,41,117
2,42,42,117
2,42,43,87
2,42,44,87
2,42,45,87
2,42,46,87
2,42,47,87
2,42,48,87
2,42,49,152
2,42,50,152
2,42,51,152
2,42,52,152
2,42,53,152
2,42,54,152
2,42,55,152
2,42,56,89
2,42,57,89
2,42,58,89
2,42,59,89
2,42,60,89
2,42,61,89
2,42,62,89
2,42,63,89
2,42,64,89
2,42,65,89
2,42,66,89
2,42,67,89
2,43,3,4.1
2,43,4,4.1
2,43,5,4.1
2,43,6,4.1
2,43,7,4.1
2,43,8,4.4
2,43,9,4.4
2,43,10,4.4
2,43,11,4.4
2,43,12,4.4
2,43,13,4.4
2,43,14,4.4
2,43,15,4
2,43,16,4
2,43,17,4
2,43,18,4
2,43,19,4
2,43,20,4
2,43,21,4.1
2,43,22,4.1
2,43,23,4.5
2,43,24,4.5
2,43,25,4.2
2,43,26,4.2
2,43,27,4.2
2,43,28,4.2
2,43,29,4.2
2,43,30,4.2
2,43,31,3.9
2,43,32,3.9
2,43,33,3.9
2,43,34,3.9
2,43,35,3.9
2,43,36,3.9
2,43,37,4.2
2,43,38,4.2
2,43,39,4.2
2,43,40,4.2
2,43,41,4.2
2,43,42,4.2
2,43,43,4
2,43,44,4
2,43,45,4
2,43,46,4
2,43,47,4
2,43,48,4
2,43,49,3.4
2,43,50,3.4
2,43,51,3.4
2,43,52,3.4
2,43,53,3.4
2,43,54,3.4
2,43,55,3.4
2,43,56,3.6
2,43,57,3.5
2,43,58,3.5
2,43,59,3.5
2,43,60,3.4
2,43,61,3.4
2,43,62,3.4
2,43,63,3.4
2,43,64,3.3
2,43,65,3.3
2,43,66,3.3
2,43,67,3.3
2,44,3,1
2,44,4,1
2,44,5,1
2,44,6,1
2,44,7,1
2,44,8,1
2,44,9,1
2,44,10,1
2,44,11,1
2,44,12,1
2,44,13,1
2,44,14,1
2,44,15,0.9
2,44,16,0.9
2,44,17,0.9
2,44,18,0.9
2,44,19,0.9
2,44,20,0.9
2,44,21,1
2,44,22,1
2,44,23,1.1
2,44,24,1.1
2,44,25,0.8
2,44,26,0.8
2,44,27,0.8
2,44,28,0.8
2,44,29,0.8
2,44,30,0.8
2,44,31,0.8
2,44,32,0.8
2,44,33,0.8
2,44,34,0.8
2,44,35,0.8
2,44,36,0.8
2,44,37,0.86
2,44,38,0.86
2,44,39,0.86
2,44,40,0.86
2,44,41,0.86
2,44,42,0.86
2,44,43,0.98
2,44,44,0.98
2,44,45,0.98
2,44,46,0.98
2,44,47,0.98
2,44,48,0.98
2,44,49,0.81
2,44,50,0.81
2,44,51,0.81
2,44,52,0.81
2,44,53,0.81
2,44,54,0.81
2,44,55,0.81
2,44,56,0.88
2,44,57,0.9
2,44,58,0.9
2,44,59,0.9
2,44,60,0.76
2,44,61,0.76
2,44,62,0.76
2,44,63,0.76
2,44,64,0.86
2,44,65,0.86
2,44,66,0.86
2,44,67,0.86
2,55,0,5
3,1,5,12.9
3,1,6,12.9
3,1,7,12.9
3,1,8,12.9
3,1,9,12.9
3,1,10,12.9
3,1,11,12.9
3,1,12,12.9
3,1,13,12.9
3,1,14,12.9
3,1,15,12.9
3,1,16,12.9
3,1,17,12.9
3,1,18,12.9
3,1,19,12.9
3,1,20,12.9
3,1,21,12.9
3,1,22,12.9
3,1,23,12.9
3,1,24,12.9
3,1,25,12.9
3,1,26,12.9
3,1,27,12.9
3,1,28,12.9
3,1,29,12.9
3,1,31,38.7
3,1,34,25.8
3,1,35,25.8
3,1,36,25.8
3,1,37,25.8
3,1,38,25.8
3,1,39,25.8
3,1,41,25.8
3,1,42,25.8
3,1,43,25.8
3,1,47,51.6
3,1,48,25.8
3,1,49,25.8
3,1,50,25.8
3,3,1,30
3,3,2,30
3,3,3,30
3,3,4,30
3,3,6,30
3,3,7,30
3,3,8,30
3,3,9,30
3,3,10,30
3,3,11,30
3,3,12,30
3,3,13,30
3,3,14,30
3,3,15,30
3,3,16,30
3,3,17,30
3,3,18,30
3,3,19,30
